#
# amazon. G(262111, 899792). 91645 (0.3496) nodes with in-deg > avg deg (6.9), 12646 (0.0482) with >2*avg.deg (Mon Dec 11 10:26:14 2023)
#
# In-degree	Count
1	6069
2	6148
3	6774
4	7284
5	92835
6	51356
7	28534
8	17845
9	11754
10	7975
11	5819
12	4069
13	3003
14	2218
15	1747
16	1346
17	1081
18	807
19	702
20	553
21	465
22	403
23	336
24	300
25	252
26	241
27	175
28	178
29	176
30	140
31	105
32	110
33	86
34	84
35	77
36	79
37	57
38	50
39	52
40	43
41	43
42	40
43	33
44	41
45	24
46	44
47	17
48	29
49	20
50	30
51	21
52	22
53	13
54	11
55	24
56	24
57	11
58	16
59	14
60	11
61	11
62	10
63	12
64	9
65	11
66	8
67	5
68	9
69	6
70	12
71	12
72	6
73	9
74	3
75	4
76	7
77	2
78	5
79	4
80	8
81	4
82	4
83	4
84	1
85	6
86	3
87	3
88	3
89	5
91	4
92	2
93	4
94	1
95	1
96	6
97	3
98	3
99	2
100	6
101	3
102	2
103	2
104	1
105	3
106	1
107	2
108	1
110	2
111	3
114	2
116	2
117	3
119	1
120	2
123	1
127	1
129	3
132	1
133	1
134	1
137	2
138	1
140	1
144	1
145	1
151	1
153	1
158	1
159	1
161	2
164	1
166	2
167	1
171	1
173	2
175	1
180	2
185	1
189	1
194	1
210	1
219	1
221	2
227	1
272	1
278	1
280	1
296	1
330	1
335	1
363	1
405	1
420	1
