# Undirected graph (each unordered pair of nodes is saved once): SB-large-network.txt
# Nodes: 14134 Edges: 22503
# NodeId	NodeId
11950	14715
1690	5494
7683	9939
5776	7428
579	6047
6047	6308
6151	6286
1197	4143
2757	3096
4616	6159
5055	6818
6818	7517
3009	6954
3009	7517
1541	7019
1915	4716
4716	8615
8615	9906
3626	3671
2268	4821
2268	4887
4887	7766
1052	2879
2879	9544
1375	2832
1375	7034
4618	6754
3274	5402
567	5402
4071	4868
4868	6505
6823	7023
6266	8724
7896	9716
3887	6313
3887	7525
7183	8849
786	5690
2300	4197
4197	6924
6263	7889
128	2745
2745	3858
5429	5970
4690	7225
9223	9846
934	9846
9278	9779
2295	8807
3062	6482
8231	9959
2918	9224
1400	2918
1400	6482
1400	9959
181	3573
156	3573
3573	4122
7356	7366
8057	8694
1279	9810
5329	5487
7459	9640
3417	4573
3417	6285
2981	6285
2327	3381
1466	2638
4188	8214
2541	5612
2541	6829
6480	6829
2388	2527
8627	9160
5840	6007
9757	9801
5592	9085
5592	9757
4239	7066
13933	14625
5912	6791
6214	8052
5509	6554
5509	9437
5509	9542
8153	8666
3030	5504
6953	7458
7458	8199
2239	9737
5864	7438
6073	6805
4268	5988
9143	9588
5280	5447
5280	7132
4208	5280
4208	9169
4208	9216
7829	8945
271	6424
6424	6710
2212	2575
2212	7403
6940	7875
6294	6505
6294	7204
1589	7204
1589	8430
6201	7221
4139	4796
4139	5293
3903	4796
7190	8279
7031	8301
8301	8756
5048	6644
3467	4302
6081	7165
6779	7165
6225	9793
6211	9785
4506	5680
8948	9276
2685	4179
2614	4179
7029	8268
7029	8372
8278	8970
3102	8011
3102	8239
9116	9246
2353	6434
2353	6448
1153	9493
1763	3866
5434	9299
4301	9299
1652	7506
5160	5202
3798	5202
4270	8905
8117	8152
3461	7597
5481	8114
4523	4845
6083	7363
2859	3732
6383	7412
4476	8879
5334	6696
7976	9479
4538	7252
6503	7377
5390	6941
7360	7427
2475	2934
2475	7427
2475	9198
3520	4732
4757	7576
5376	5709
3095	4688
8274	8879
4284	7876
3289	9195
9038	9105
5016	5283
5016	6791
3183	9949
9949	9995
6737	9995
2385	9995
5444	7505
4342	7505
204	4293
4293	5422
1632	1935
1632	2046
1632	3896
5119	8204
4317	6658
1901	6345
1901	6658
6345	7215
7536	8629
8629	9338
5186	8442
5959	7573
4629	7573
4629	7634
3878	7116
3878	7634
7634	8442
5463	9087
9629	9656
7724	7771
7724	7798
2873	7798
2873	8297
7798	9656
42	8156
42	9648
3774	6331
3774	8271
5738	9332
5738	9618
8376	14072
5632	7181
3420	5267
5267	9183
3150	5267
3150	7181
6223	8676
5028	6923
56	5702
3456	7200
6461	6897
3587	6897
490	4878
57	4878
4932	6478
4932	8014
4932	9964
3144	5078
5078	5103
2646	2689
1565	5826
1565	6340
8593	8781
8746	8781
4922	8461
3117	3511
5743	6328
8914	9898
3143	6180
3143	7928
3143	8913
4468	7212
4468	8958
7212	7928
7746	7793
5722	9215
7086	7285
7086	9421
6364	9421
6907	8878
4413	6663
6854	8320
5076	5248
6351	8605
2875	3533
2609	5139
4234	7977
527	4234
527	7853
2443	2883
5172	6567
6517	8590
5696	6601
6601	9053
13602	13701
11693	12139
12139	13751
11633	13565
10168	14468
12497	12839
2911	5851
8723	8953
5777	7897
7294	7373
810	7758
268	7758
2172	9771
291	9771
1851	6886
6886	9391
6156	9391
8997	9040
8997	9391
8997	9709
4266	5769
4675	8036
2160	2231
2160	4283
2160	8036
2160	8211
4283	4839
1284	4088
4408	8889
6605	7236
14170	14344
11247	11779
5658	9551
7344	8597
4901	6796
4901	7081
4901	9350
1881	5866
1881	7119
1881	8868
835	5517
5517	6776
6531	6776
6531	8557
4817	5455
5455	8845
2044	3867
3867	9498
7646	9938
4243	9039
9229	9241
5257	7339
5257	8623
6380	7073
3345	6134
6134	7073
4846	7947
