# Undirected graph (each unordered pair of nodes is saved once): SB-small-network.txt
# Nodes: 1000 Edges: 5169
# NodeId	NodeId
0	68
0	514
0	566
1	27
1	109
1	127
1	312
1	412
1	430
1	462
1	521
1	527
1	574
1	619
1	629
1	661
2	58
2	95
2	96
2	172
2	203
2	264
2	352
2	420
2	473
2	564
2	573
2	574
2	628
2	690
3	99
3	143
3	196
3	315
3	381
3	410
3	497
3	576
3	920
4	32
4	146
4	157
4	161
4	181
4	251
4	288
4	466
4	530
4	546
4	626
4	658
4	660
4	687
4	694
5	8
5	288
5	312
5	350
5	367
5	382
5	476
5	579
6	87
6	154
6	303
6	313
6	365
6	383
6	421
6	439
6	464
7	71
7	138
7	212
7	272
7	346
7	365
7	383
7	489
7	535
7	559
7	626
8	153
8	207
8	214
8	298
8	410
8	411
8	464
8	578
8	675
9	103
9	368
9	392
9	699
10	30
10	53
10	161
10	217
10	274
10	334
10	379
10	382
10	464
10	632
11	141
11	320
11	540
11	573
11	635
12	130
12	138
12	193
12	246
12	335
12	464
12	560
13	102
13	128
13	136
13	187
13	199
13	219
13	222
13	250
13	261
13	294
13	330
13	331
13	421
13	607
13	634
13	681
14	27
14	103
14	193
14	229
14	263
14	348
14	366
14	415
14	667
15	62
15	76
15	87
15	169
15	234
15	336
15	366
15	443
15	450
15	497
15	511
15	554
15	557
15	686
15	693
15	742
16	39
16	86
16	173
16	215
16	253
16	327
16	359
16	515
16	526
17	70
17	127
17	161
17	179
17	236
17	332
17	350
17	427
17	477
17	528
17	531
17	642
17	654
18	21
18	47
18	97
18	136
18	256
18	275
18	282
18	406
18	571
18	595
18	645
19	104
19	234
19	271
19	285
19	348
19	408
19	532
19	590
19	636
20	88
20	90
20	202
20	356
20	475
20	588
21	34
21	94
21	112
21	234
21	244
21	318
21	340
21	341
21	425
21	518
21	549
21	570
21	586
22	77
22	83
22	86
22	100
22	104
22	189
22	233
22	309
22	399
22	405
22	497
22	593
22	605
22	625
23	257
23	324
23	397
23	399
23	410
23	440
23	464
23	545
23	586
24	46
24	81
24	175
24	201
24	501
24	530
24	657
25	74
25	248
25	254
25	339
25	399
25	416
25	449
25	455
25	458
25	519
25	522
25	622
25	688
26	169
26	175
26	273
26	402
26	431
26	435
26	539
26	605
27	97
27	114
27	259
27	274
27	278
27	374
27	460
27	484
27	551
27	555
27	602
27	658
27	677
27	989
28	65
28	105
28	129
28	132
28	155
28	157
28	178
28	207
28	312
28	395
28	539
29	71
29	107
29	198
29	263
29	319
29	324
29	342
29	350
29	376
29	395
29	426
29	459
29	562
29	574
29	658
30	62
30	162
30	173
30	446
30	455
30	501
30	505
30	627
30	694
31	41
31	305
31	483
31	614
31	625
32	78
32	89
32	539
32	647
33	187
33	347
33	360
33	431
33	449
33	460
33	573
34	143
34	159
34	194
34	337
34	477
34	481
34	520
34	573
34	592
34	672
35	223
35	224
35	231
35	361
35	383
35	490
35	543
35	595
35	660
36	243
36	485
36	522
36	539
36	571
36	599
36	641
37	153
37	203
37	210
37	314
37	332
37	434
37	450
37	461
37	581
37	587
37	612
38	65
38	110
38	165
38	178
38	225
38	314
38	381
38	428
38	431
38	447
38	482
38	519
38	547
38	611
38	648
38	674
39	120
39	265
39	331
39	362
39	466
39	484
39	610
39	612
39	678
40	83
40	146
40	291
40	366
40	473
40	518
40	635
41	60
41	222
41	240
41	278
41	305
41	379
41	451
41	459
41	572
41	586
42	106
42	271
42	294
42	349
42	356
42	470
42	556
42	628
42	659
42	720
43	135
43	189
43	206
43	238
43	324
43	416
43	465
43	621
44	166
44	283
44	301
44	335
44	351
44	367
44	446
44	469
44	519
44	831
45	49
45	51
45	115
45	193
45	231
45	321
45	376
45	507
45	534
45	540
45	559
45	657
46	152
46	257
46	437
46	454
46	500
46	602
46	620
46	964
47	87
47	124
47	126
47	136
47	183
47	233
47	251
47	303
47	312
47	389
47	431
47	493
47	507
47	621
47	799
48	69
48	102
48	187
48	261
48	375
48	419
48	422
48	612
48	632
49	60
49	129
49	501
49	506
49	568
49	571
49	636
49	678
50	292
50	346
50	383
50	396
50	471
50	483
50	487
50	538
50	588
50	593
50	609
51	105
51	190
51	239
51	249
51	287
51	322
51	324
51	330
51	416
51	442
51	454
51	476
51	550
51	578
51	626
51	682
52	65
52	122
52	160
52	326
52	341
52	388
52	570
52	620
52	625
52	644
53	91
53	161
53	379
53	409
53	501
53	545
53	569
53	623
53	686
54	59
54	186
54	228
54	238
54	248
54	254
54	264
54	305
54	550
54	577
54	604
54	615
54	698
55	262
55	263
55	328
55	407
55	424
55	468
55	691
56	89
56	102
56	141
56	158
56	230
56	284
56	335
56	355
56	417
56	489
56	498
56	542
56	589
56	622
56	629
56	632
56	642
56	684
56	692
57	121
57	191
57	231
57	232
57	287
57	318
57	342
57	355
57	414
57	535
57	545
57	650
58	97
58	140
58	141
58	319
58	334
58	369
58	447
58	478
58	596
58	678
59	63
59	75
59	156
59	177
59	221
59	239
59	601
59	612
59	632
60	387
60	458
60	554
60	565
60	578
60	586
60	646
60	688
61	64
61	117
61	181
61	228
61	277
61	364
61	420
61	432
61	459
61	508
61	601
61	617
61	624
61	658
62	106
62	126
62	191
62	297
62	340
62	373
62	385
62	428
62	488
62	535
62	541
62	593
62	663
62	677
62	687
63	179
63	259
63	305
63	470
64	291
64	306
64	451
64	470
64	503
64	520
64	566
64	607
64	670
65	102
65	295
65	329
65	341
65	416
65	456
65	586
65	666
66	216
66	279
66	321
66	499
66	573
66	890
67	91
67	103
67	236
67	322
67	373
67	465
67	480
67	494
67	497
67	505
67	522
67	668
67	677
67	690
68	180
68	207
68	319
68	372
68	605
68	618
68	679
68	693
68	695
69	145
69	148
69	171
69	358
69	442
69	516
69	559
70	219
70	238
70	317
70	433
70	463
70	535
70	668
71	181
71	269
71	606
71	664
72	207
72	521
72	575
72	649
72	688
72	694
73	339
73	371
73	433
73	489
73	608
73	610
73	692
74	135
74	327
74	462
74	517
74	558
75	159
75	260
75	267
75	288
75	326
75	353
75	363
75	414
75	416
75	673
76	144
76	159
76	220
76	289
76	331
76	358
76	445
76	451
76	510
76	546
76	560
76	630
77	156
77	170
77	221
77	295
77	304
77	306
77	382
77	440
77	506
77	569
77	626
77	666
77	688
78	145
78	150
78	223
78	366
78	433
78	442
78	540
78	606
79	346
79	377
79	444
79	455
79	578
79	623
79	690
80	189
80	200
80	374
80	405
80	440
80	498
80	554
80	621
81	145
81	267
81	300
81	482
81	566
81	640
82	93
82	152
82	173
82	227
82	319
82	416
82	574
83	107
83	203
83	288
83	307
83	334
83	360
83	390
83	435
83	441
83	561
83	603
83	653
84	86
84	229
84	247
84	275
84	313
84	380
84	520
85	136
85	244
85	464
85	470
85	596
85	641
85	671
86	123
86	124
86	161
86	166
86	336
86	458
86	519
86	599
86	665
86	682
86	690
87	142
